WARNING:tensorflow:From /lustre/work/cse496dl/pmorrow4/homework3/model.py:61: calling reduce_sum (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
2019-04-05 17:37:00.503465: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2
2019-04-05 17:37:01.091403: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-05 17:37:01.094551: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Tesla K20m major: 3 minor: 5 memoryClockRate(GHz): 0.7055
pciBusID: 0000:03:00.0
totalMemory: 4.63GiB freeMemory: 4.56GiB
2019-04-05 17:37:01.094614: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-05 17:37:01.557573: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-05 17:37:01.557693: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-05 17:37:01.557733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-05 17:37:01.557992: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 4327 MB memory) -> physical GPU (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0, compute capability: 3.5)
TEST 1: Ep: 0, Score: 16.66775369644165, Steps: 1002, n_steps: 5000, training_start: 1000
TEST 1: Ep: 1, Score: 190.20826568603513, Steps: 1005, n_steps: 5000, training_start: 1000
TEST 1: Ep: 2, Score: 500.75048522949214, Steps: 1008, n_steps: 5000, training_start: 1000
TEST 1: Ep: 3, Score: 1022.9391723632812, Steps: 1011, n_steps: 5000, training_start: 1000
TEST 1: Ep: 4, Score: 2059.7032104492187, Steps: 1014, n_steps: 5000, training_start: 1000
TEST 1: Ep: 5, Score: 4182.24326171875, Steps: 1017, n_steps: 5000, training_start: 1000
TEST 1: Ep: 6, Score: 7769.9910888671875, Steps: 1020, n_steps: 5000, training_start: 1000
TEST 1: Ep: 7, Score: 12738.248486328124, Steps: 1023, n_steps: 5000, training_start: 1000
TEST 1: Ep: 8, Score: 21053.37861328125, Steps: 1026, n_steps: 5000, training_start: 1000
TEST 1: Ep: 9, Score: 37810.13359375, Steps: 1029, n_steps: 5000, training_start: 1000
TEST 1: Ep: 10, Score: 50386.437695312496, Steps: 1032, n_steps: 5000, training_start: 1000
TEST 1: Ep: 11, Score: 77151.94921875, Steps: 1035, n_steps: 5000, training_start: 1000
TEST 1: Ep: 12, Score: 115633.83671875, Steps: 1038, n_steps: 5000, training_start: 1000
TEST 1: Ep: 13, Score: 134527.5703125, Steps: 1041, n_steps: 5000, training_start: 1000
TEST 1: Ep: 14, Score: 174402.06875, Steps: 1044, n_steps: 5000, training_start: 1000
TEST 1: Ep: 15, Score: 237713.3046875, Steps: 1047, n_steps: 5000, training_start: 1000
TEST 1: Ep: 16, Score: 322990.203125, Steps: 1050, n_steps: 5000, training_start: 1000
TEST 1: Ep: 17, Score: 431657.971875, Steps: 1053, n_steps: 5000, training_start: 1000
TEST 1: Ep: 18, Score: 517288.47812499997, Steps: 1056, n_steps: 5000, training_start: 1000
TEST 1: Ep: 19, Score: 645181.040625, Steps: 1059, n_steps: 5000, training_start: 1000
TEST 1: Ep: 20, Score: 825399.6031249999, Steps: 1062, n_steps: 5000, training_start: 1000
TEST 1: Ep: 21, Score: 1075101.4625, Steps: 1065, n_steps: 5000, training_start: 1000
